
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 3 (cropped)","ROIs 1","ROIs","Object","1545.08","552","845","686.69","8.91e+08","30.69","189","322","249.99","3.24e+08","13.48","1813","2279","2056.21","1.78e+08","84.61","2535","2867","2699.57","2.34e+08","39.22","399.47","1356.9","685.71","8.90e+08","69.58","141.15","440.63","250.05","3.24e+08","23.57","N/A","N/A"
"2","GTY029 25C 3 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","773.06","773.06","773.06","773.06","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 3 (cropped)","Whole cells prelim 2","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","726.65","726.65","726.65","726.65","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 3 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","745.56","761.88","753.72","1507.44","8.16","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 3 (cropped)","Whole cells prelim 4","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","771.72","771.72","771.72","771.72","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 3 (cropped)","Whole cells prelim 5","Whole cells prelim","Object","0.00833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","735.31","797.52","762.51","5337.59","24.86","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 3 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.00953","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","713.07","863.21","792.23","6337.83","53.03","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 3 (cropped)","Whole cells prelim 7","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","772.92","772.92","772.92","772.92","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 3 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.00953","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.2","809.09","773.94","6191.5","20.69","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 3 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","776.39","810.04","788.41","2365.23","15.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
